Geneid	Trspfl_RNA_1	control_RPF_1	Trspfl_RPF_2	control_RPF_2	Trspfl_RNA_2	Trspfl_RPF_1	control_RNA_1	control_RNA_2
Snai2	56	11	14	19	34	15	25	46
Slpi	42	12	35	7	35	21	9	28
Vwa5a	667	252	456	215	681	323	424	454
Mapkapk3	62	6	15	8	67	8	36	55
Wdr83os	174	20	45	32	171	37	110	136
9330182O14Rik	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0
Cntfr	7	7	15	2	12	7	19	10
Mettl11b	0	0	0	0	0	0	0	0
Amacr	3219	1150	1142	755	3026	836	2541	2829
Abhd13	399	22	24	20	332	17	264	321
Taf1	283	106	142	77	238	133	216	257
Dsc1	0	0	0	0	0	0	0	0
Gde1	1053	59	103	58	1068	81	582	816
Creb3	1004	255	357	190	1088	214	697	764
Prm2	0	0	0	0	0	0	0	0
Dpp4	2651	853	1675	906	2792	1221	1287	1908
Casp3	516	116	229	125	505	139	406	569
Ankrd65	0	0	0	0	0	0	0	0
Ten1	30	9	6	10	27	4	10	25
Irgc1	0	0	0	0	0	0	0	0
Krit1	253	77	76	67	243	51	153	204
Galns	82	21	63	14	88	19	39	35
Eipr1	132	47	44	25	145	34	85	88
Sestd1	28	7	8	3	30	7	25	20
Timd4	98	27	29	29	85	25	50	95
Irf2bp1	228	92	93	57	234	59	148	166
Idh3g	1205	274	636	264	1181	521	541	829
Safb2	500	113	199	110	481	133	281	403
Dpp10	1	0	0	0	0	0	0	0
Cnr2	37	18	24	16	47	16	38	53
Gimap9	215	43	124	69	249	80	155	183
Scap	1771	383	282	265	1591	197	1636	1765
Cd300ld4	0	0	0	0	0	0	0	0
Vmn2r120	0	0	0	0	0	0	0	0
Stx1b	20	6	7	6	18	9	22	15
Vdac3	255	54	130	71	245	80	170	162
Ajuba	125	12	37	8	145	19	52	43
Zfp626	48	6	18	11	45	21	29	63
Krtap8-1	0	0	0	0	0	0	0	0
Evx2	0	0	0	0	0	0	0	0
Cts8	0	0	0	0	0	0	0	0
Zfp708	72	3	0	1	57	0	32	49
Rlf	288	49	84	68	267	74	156	252
C4H1orf232	1	0	0	0	0	0	0	0
Psme2b	27	0	5	2	19	2	7	14
Ly6g	0	0	0	0	1	0	0	0
Nr3c2	168	53	107	39	162	70	108	135
Fgf18	4	0	1	0	3	0	1	2
Fxr2	748	255	297	126	663	192	446	533
Dkkl1	0	0	0	0	0	0	0	0
Fam122b	53	1	10	4	38	4	22	34
Mavs	1474	359	563	323	1661	343	1135	1370
Gm19774	3	0	0	0	2	0	1	0
Wdr88	0	0	0	0	0	0	0	0
Pes1	448	102	210	113	456	148	255	297
Spaca7	0	0	0	0	2	0	0	0
Rbmxl1	18	0	0	2	16	1	8	16
Lbhd2	1	0	0	0	0	0	0	0
Ddc	3483	933	1721	506	3107	1257	1908	1378
Adamts9	25	7	12	7	32	15	17	27
Amer3	0	0	0	0	0	0	0	0
Gcnt4	89	10	8	11	59	8	75	76
Crct1	0	0	0	1	0	0	0	0
Tent5a	220	54	83	61	200	64	201	260
Scgb2b12	0	0	0	0	0	0	0	0
Nuggc	2	5	8	11	9	2	11	21
3110082J24Rik	0	0	0	0	0	0	0	0
Scgb2b15	0	0	0	0	0	0	0	0
Kcna6	2	0	0	0	0	0	1	0
Olfr120	0	0	0	0	0	0	0	0
Olfr123	0	0	0	0	0	0	0	0
Olfr121	0	0	0	0	0	0	0	0
Olfr344	0	0	0	0	0	0	0	0
Kxd1	496	54	164	60	614	76	312	453
Ninj2	0	0	0	0	0	0	0	0
Rnf24	74	7	4	10	56	13	53	61
Fam171b	16	4	3	3	18	3	12	22
Cntn4	0	0	0	0	0	0	0	0
Acsm4	0	0	0	0	0	0	0	0
Thnsl2	2666	560	1916	523	2957	1338	850	1054
Nlrp12	6	149	5	113	1	5	392	483
Oasl2	122	37	67	31	104	46	36	79
Gm11634	0	0	0	0	0	0	0	0
Fgf17	0	0	0	0	0	0	0	0
4930451G09Rik	11	0	1	0	10	0	5	6
Grm2	0	0	0	0	0	0	0	0
Srd5a3	190	34	45	32	192	41	101	106
Cela3b	299	0	2	0	0	248	0	0
Gm5347	0	0	0	0	0	0	0	0
Rgs11	2	0	0	1	0	0	0	1
Rfpl4b	0	0	0	0	0	0	0	0
Vmn1r58	0	0	0	0	0	0	0	0
Ces1c	39585	16374	23135	13901	47586	17192	21678	34371
Apom	4111	2181	3284	2355	4329	2535	2846	3641
Fam210b	1042	401	283	217	922	199	938	1017
Drg1	772	381	672	356	645	481	532	708
Tatdn3	124	19	46	20	103	35	47	90
Fzd1	150	19	18	9	164	21	74	114
Ces1g	9977	1974	6703	1749	10275	4832	2693	3211
Adcy7	72	5	14	3	73	10	42	41
Rpl29	30	1	1	0	40	2	20	47
Rpl26	0	2	23	6	0	12	0	2
Spam1	0	0	0	0	0	0	0	0
Sp4	78	15	28	8	118	22	54	68
Sox4	35	5	12	2	29	7	18	24
Sox18	121	26	38	14	88	24	64	56
Sox15	0	0	0	0	0	0	0	0
Ccdc116	2	0	0	0	1	0	0	1
Prim2	56	18	18	15	51	10	18	31
4933403O08Rik	0	0	0	0	0	0	0	0
Smpd2	606	162	271	106	660	209	355	377
Etv1	3	0	0	0	4	0	3	1
M6pr	1338	172	318	211	1316	259	760	927
Lyst	292	169	241	126	411	136	232	221
Cd209g	3	0	0	0	4	0	2	1
Nbdy	66	0	1	1	62	0	10	18
Vmn1r115	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0
Mapkapk5	517	24	84	26	550	53	286	426
Akt3	56	4	9	5	47	5	30	44
Plekhd1	0	0	0	0	0	0	0	0
Txlna	539	172	230	126	507	153	362	442
Wfikkn1	3	0	1	0	7	0	3	3
Hsd3b1	5	1	1	0	7	3	3	2
Ltb4r1	4	0	1	0	8	0	3	6
Ltb	24	0	1	0	12	1	4	9
Lrrn1	5	0	0	0	4	2	1	1
Scg5	32	0	0	0	51	0	12	13
Sgca	0	0	0	0	0	0	0	0
Xntrpc	0	0	0	0	0	0	0	0
Hsd17b7	887	377	401	423	889	322	1160	1116
Flt4	291	167	229	102	307	156	193	208
Spata19	0	0	0	0	0	0	0	0
Sel1l	2323	1249	1054	848	2108	879	2126	2504
Cldn7	7	1	4	0	4	2	1	2
Atp1b1	712	361	468	230	899	326	367	554
Neurog3	0	0	0	0	1	0	0	0
Ubash3a	0	0	1	0	0	1	0	0
Ep300	363	126	218	112	385	161	230	290
Vnn1	2048	179	436	185	1562	380	489	835
Hcst	8	3	3	1	12	1	5	7
Grem1	1	0	0	0	0	0	0	0
Ero1lb	975	355	296	278	968	249	1176	1054
Plaat3	171	55	82	50	183	75	118	135
Samd8	623	79	167	78	540	109	313	445
Cage1	19	2	4	1	11	1	8	4
Pdcd1lg2	2	0	0	0	0	0	0	2
Hyou1	3575	3935	3172	2491	3321	2355	4437	3753
Zbp1	169	25	37	16	157	38	40	80
Dapl1	0	0	0	0	0	0	0	2
Hormad2	0	0	1	0	1	0	4	1
Ldlrad4	109	10	14	6	108	16	52	69
Unc13d	17	3	8	5	21	7	8	9
Folr2	218	11	12	12	214	16	124	160
Mrpl18	562	20	37	15	659	33	294	405
Cldn13	0	0	0	0	0	0	0	0
Idh3b	3368	946	1562	720	3559	1095	1486	2326
Tac4	0	0	0	0	0	0	1	0
Slc44a3	120	23	40	24	81	25	47	70
Acvr1c	1	0	0	1	0	0	0	0
Grrp1	3	0	0	0	6	1	1	6
Ly75	32	35	38	23	40	21	26	18
Thap11	365	55	83	27	330	46	240	280
Kl	0	552	175	105	0	168	0	1
Cend1	1	0	1	0	2	0	1	1
Baz1a	190	50	157	59	196	102	95	123
Sprn	8	3	2	0	5	4	6	8
Sptbn5	1	0	0	0	0	0	0	1
Crmp1	0	0	0	0	2	0	0	0
Ogn	37	16	10	10	21	15	26	22
Tefm	346	95	185	77	408	128	157	195
Slc18b1	51	6	8	3	44	8	41	42
Hist1h4m	0	72	4	23	1	8	3	2
Cngb1	1	1	0	0	1	0	0	0
Entpd2	95	9	12	6	89	14	38	46
Appbp2	219	111	266	118	213	191	120	171
Cox7a2	3223	1502	1046	567	3257	691	2208	2586
Erf	297	39	85	41	253	64	120	231
Erbb4	98	26	52	33	59	48	33	62
Ruvbl2	163	50	93	47	151	72	84	130
Vmn2r53	0	0	0	0	0	0	0	0
Pet117	0	19	39	20	0	26	0	0
Rnf183	0	0	0	0	0	0	0	0
Syap1	985	131	266	179	890	216	555	831
Twsg1	885	106	90	73	860	76	632	734
Tmem270	0	0	0	0	0	0	0	0
Tmem139	6	2	2	0	3	1	1	1
Mc5r	0	0	0	0	0	0	0	0
Klra1	0	0	0	0	0	0	1	0
Galt	523	171	223	102	558	92	378	510
Aunip	3	0	0	0	1	2	0	0
Cyp2c69	232	94	115	7	258	55	199	47
Vmn2r80	0	0	0	0	0	0	0	0
Telo2	76	30	42	14	75	18	47	65
Slc7a1	9	7	5	4	7	4	3	10
Grcc10	710	87	144	110	671	102	410	635
Ctsk	13	3	9	2	20	5	5	9
Ap4m1	146	31	72	27	135	51	82	99
Tex16	0	0	1	0	1	0	0	0
Ctsz	3541	1006	1426	829	3732	988	1911	2593
1700020L24Rik	0	0	0	1	2	0	1	0
Tmem208	939	184	258	145	914	201	551	684
Ppp4c	648	158	210	79	630	138	390	485
Senp7	120	23	51	24	115	42	75	93
Gsdma3	0	1	0	0	0	0	0	1
Nupr1l	9	0	3	0	8	0	2	4
Smdt1	786	184	318	158	867	225	502	709
Tslp	4	0	0	0	2	0	1	3
Mcoln2	7	0	1	1	11	3	3	2
Prps1	413	38	111	49	445	65	274	376
Map2k5	270	40	58	39	230	60	188	259
Jph1	4	1	1	2	10	2	10	21
Dalrd3	581	128	151	85	611	97	393	454
Fam110c	41	11	28	8	41	16	9	28
Sema4g	4307	174	251	165	3927	207	2198	2920
Aadat	2259	813	832	570	1982	791	1660	1964
Dnah7b	0	0	0	0	1	1	0	2
Armh2	1	0	0	1	1	0	0	0
Sez6l2	6	0	2	0	6	0	0	1
Twist2	1	0	0	0	1	0	0	1
Slc29a2	9	2	3	1	3	2	2	9
Acot3	45	24	59	14	84	11	28	65
Ms4a1	14	1	0	0	7	3	3	8
Ppia	84	0	3	2	148	2	54	98
Krt17	0	0	0	0	0	0	0	0
Hoxb13	0	0	0	0	0	0	0	0
Krt15	0	0	0	0	0	0	0	0
Mip	1	0	0	0	0	0	0	0
Cxcl9	491	37	116	73	333	135	152	233
Mgmt	176	148	117	86	196	92	129	170
Dmwd	219	21	35	19	212	21	102	126
Nsmce3	253	158	153	75	200	112	165	260
Sell	17	1	4	2	18	2	14	5
Cobl	164	105	130	98	202	86	159	169
Pla1a	792	309	339	295	890	228	644	838
Zfp956	60	6	17	5	59	9	34	45
Mrpl45	321	75	126	55	337	79	168	269
Pnmal2	11	0	2	0	11	3	11	17
Ctag2l2	0	0	0	0	0	0	0	0
Krtap1-3	0	0	0	0	0	0	0	0
Btbd35f7	0	0	0	0	0	0	0	0
Zfp992	2	0	0	0	0	0	0	1
Katna1	306	51	102	61	293	91	137	241
Insrr	0	0	0	0	0	0	0	0
Igtp	889	111	348	146	861	253	229	436
Pcsk2	0	0	0	0	0	0	0	0
Repin1	605	157	149	110	512	92	496	575
1700065D16Rik	0	1	0	0	0	1	0	1
Ndufa4l2	13	5	12	8	11	6	14	16
Snrpg	14	1	0	0	27	0	8	19
Coq5	568	186	251	97	589	135	385	359
Lsmem2	0	0	0	0	0	0	0	1
Ang2	1	0	0	0	0	0	0	1
Ism1	3	0	1	1	2	0	0	1
Tchhl1	0	0	0	0	0	0	0	0
Rassf8	777	68	114	72	722	73	622	704
Cyp2e1	108489	56401	73122	54960	108213	51231	93533	121140
Nifk	524	95	183	89	493	160	310	411
Trmt112	14	1	1	1	6	0	2	10
Cideb	769	2545	2191	1445	825	1410	551	722
Plppr2	78	1	0	0	83	0	32	24
Kcne1	0	0	0	0	0	0	0	0
Hoxd1	2	0	0	0	3	0	5	5
Cyp4x1	0	0	0	0	0	0	0	0
Kap	0	0	0	0	0	0	4	0
Abca1	2460	2274	2728	1473	2461	1920	1964	2038
Ehd3	851	363	546	290	926	368	736	773
Olfr954	0	0	0	0	0	0	0	0
Mcrip2	582	74	141	58	443	80	259	419
Rpa3	45	21	23	17	56	17	37	60
Gpaa1	320	160	121	73	303	84	210	240
S1pr2	107	16	15	5	113	10	68	59
Ednra	37	12	24	14	51	16	48	52
S100a11	2	1	0	0	1	0	1	0
Olfr730	0	0	0	0	0	0	0	0
Dhx9	1464	590	1028	684	1365	885	857	1102
Actl7a	0	0	0	0	0	0	0	0
Mmel1	1	0	0	0	0	0	0	0
Gdi1	721	330	418	246	711	315	504	483
Ywhag	1837	874	1315	711	1774	810	1212	1338
Crabp1	0	0	0	0	0	0	0	0
Cpt1a	5040	2253	3277	1958	4626	2345	3968	4898
Cpe	40	9	28	4	27	15	9	29
Tubb4a	13	1	8	2	11	3	9	5
Alkal2	0	0	0	0	0	0	0	0
BC052040	77	14	26	9	54	16	36	35
Kdm4a	433	146	183	131	488	142	332	354
Cxcl2	10	0	1	0	6	0	0	1
Ccl6	140	23	18	16	158	20	80	135
Rcor2	1	0	0	0	0	0	0	1
Dmrta1	0	6	0	1	1	4	11	2
Txnl4b	168	12	27	16	148	10	92	124
Gphb5	0	0	0	0	0	0	0	0
Tango6	125	53	73	39	128	53	77	88
Tmprss11d	0	0	0	0	0	0	0	0
Utp20	358	180	281	140	325	207	216	282
Zfp799	86	6	15	9	70	21	45	52
Brcc3	463	169	278	171	413	220	254	344
Vmn1r56	0	0	0	0	0	0	0	0
Vhl	224	68	45	35	220	25	164	211
Mpp1	680	217	378	197	634	283	351	454
Vmn1r65	0	0	0	0	0	0	0	0
Vmn1r235	0	0	0	0	0	0	0	0
Vmn1r230	0	0	16	0	0	0	0	0
Ccer2	0	0	0	0	0	0	0	0
Qtrt1	56	12	19	16	54	13	35	38
Fuca1	1701	206	284	193	1734	209	882	1181
Hoxb8	1	0	0	0	0	0	0	0
Rcan1	399	36	100	20	441	54	176	240
Stau1	878	286	612	347	751	466	576	754
Efcab11	6	2	3	0	5	2	2	4
4930595M18Rik	0	0	0	0	0	0	0	0
Dusp6	518	222	332	185	503	223	320	436
Lrg1	3429	3172	2140	1348	3108	1276	2964	3100
Ttn	4	5	3	1	8	5	2	0
Neurl3	80	20	24	13	103	8	64	69
Csrnp2	54	12	16	8	57	14	38	70
Ptges2	443	89	151	53	472	117	178	225
Tpr	1426	511	1129	559	1371	982	742	982
Hapln3	0	0	0	0	0	0	0	0
Fads6	468	398	588	284	569	287	313	327
Galp	0	0	0	0	0	0	0	0
Nr2e1	1	0	0	0	0	0	0	0
Hyal3	8	3	6	3	13	5	3	5
Fam102a	445	22	52	14	464	37	195	221
R3hdm4	540	120	159	102	443	104	343	405
Siah3	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0
Mdfic	400	29	57	33	348	49	291	334
Aqp6	0	0	0	0	0	0	0	0
Fam228b	14	2	2	2	10	3	6	13
L3mbtl3	102	24	63	17	124	42	65	53
Btnl1	0	0	1	0	0	0	0	0
Zfp820	27	1	2	4	32	1	20	35
Fndc10	4	0	1	0	4	0	6	5
Klk14	0	0	0	0	0	0	0	0
Zfp628	31	4	4	6	23	3	24	32
Ganc	420	63	125	57	462	132	235	252
4933402J07Rik	0	0	0	0	0	0	0	0
A530021J07Rik	0	0	0	0	0	0	1	0
Gm5114	0	0	0	0	0	0	0	0
Cpt2	2676	1292	1756	981	2139	1437	1878	1919
Cpt1b	0	1	4	1	0	0	0	0
Rnaseh1	79	15	26	11	113	15	59	53
Fbxw16	0	0	0	0	0	0	0	0
Gm20917	0	0	0	0	0	0	0	0
Gm20806	0	0	0	0	0	0	0	0
Gm20854	0	0	0	0	0	0	0	0
Gm20852	0	0	0	0	0	0	0	0
AA414768	3	1	2	2	1	2	3	3
Rasl12	1	0	0	1	3	0	3	4
Dennd4c	514	262	473	227	471	451	301	359
Cul9	80	20	25	7	76	23	40	36
Card6	167	44	85	42	120	53	112	116
Trappc8	887	251	382	241	751	291	609	713
Mgat4f	0	0	0	0	0	0	0	0
Tapt1	894	113	185	134	816	145	669	831
Lrtm1	132	2	11	5	159	12	17	29
Mybpc2	0	0	1	0	1	0	1	0
Lmntd1	0	0	0	0	0	0	0	0
Mrpl2	626	254	358	206	652	253	344	560
Noxred1	3	0	0	0	7	0	3	4
Ino80	241	26	47	31	210	51	134	160
Mrpl47	374	72	175	99	343	161	189	286
Sppl3	167	32	21	23	129	16	155	151
Lvrn	32	0	1	1	31	1	36	85
Sertm1	0	0	0	0	0	0	0	0
Ccnb3	1	0	0	0	0	0	0	0
Esp36	0	0	0	0	0	0	0	0
Cdc37	1461	393	844	422	1604	534	787	1024
Scarb1	1791	753	823	549	1606	613	1857	1810
Stard3	212	39	35	25	230	23	199	169
Celsr2	6	2	4	2	8	1	1	5
Aadac	6810	3089	3469	2631	6463	2860	4757	6733
Katnb1	42	6	10	2	48	1	17	22
Eno2	2	1	0	0	4	0	0	0
Bcat2	366	35	61	18	375	31	221	254
Nkx2-6	5	0	2	3	7	3	1	10
Nktr	682	60	87	44	741	70	496	661
Tmem8	762	14	18	7	641	14	314	338
Olfr1449	0	0	0	0	0	0	0	0
Ptar1	38	35	35	34	50	30	28	39
Klhl40	0	0	0	0	0	0	0	0
Supt16	583	314	707	386	575	560	331	510
Polr2e	404	92	204	84	483	129	220	284
Mrpl11	593	115	217	112	654	146	315	431
Kcnk5	552	132	238	132	775	121	465	641
Coro1b	1234	286	496	196	1152	291	609	760
Zp3	0	0	0	0	0	0	0	0
Aurkb	18	2	7	0	6	2	13	5
Atad2	100	39	81	64	68	70	51	78
Scgb3a1	1	0	0	0	0	0	1	0
Srpx2	26	19	16	6	30	11	30	22
Trap1	4804	1420	3053	1280	4407	2020	2153	3100
2310050C09Rik	0	0	0	0	0	0	0	0
Lhb	0	0	0	0	0	0	0	0
Supv3l1	261	82	117	45	231	87	162	178
Rspo2	0	0	0	0	0	0	0	0
Ttll1	46	12	16	4	28	11	31	16
Fam219b	142	9	9	2	131	11	69	82
Ms4a6c	84	11	11	7	66	13	30	39
Eif4enif1	327	44	77	40	318	69	233	267
Tsku	2390	486	1438	238	3151	579	711	865
Defa2	0	0	0	0	0	0	0	0
Tmem184b	228	64	72	51	222	50	144	207
Ocstamp	16	9	4	2	21	3	19	9
Gtpbp10	63	2	5	2	89	5	41	58
F13b	4845	1602	2470	1648	5194	1964	2955	4088
Tmem43	244	46	101	58	216	72	121	154
Pla2g4e	0	0	0	0	0	0	0	0
Sccpdh	65	11	21	14	62	16	32	41
Gstcd	115	12	19	9	89	16	58	49
Adam25	1	0	0	0	0	0	0	0
Cyct	0	0	0	0	0	0	0	0
Mal	7	0	0	0	9	2	8	14
Mrps24	1314	161	268	132	1360	163	696	1037
Diablo	406	91	124	53	343	89	195	239
Iqgap1	248	74	239	63	246	118	145	162
Abcb11	16013	7246	9548	5917	13685	7552	10737	12344
Ltbr	1252	126	138	57	1181	94	725	949
Mgst3	352	64	241	55	368	181	97	126
Cyc1	2777	654	1159	562	2649	734	1604	2208
Mien1	1286	75	104	46	1435	57	673	974
Fam135a	491	131	125	97	433	115	374	433
Paqr8	8	3	0	2	18	1	14	14
Vax2	0	0	0	0	1	0	0	1
Slc6a6	999	202	236	173	1074	138	679	745
Pou5f2	0	0	1	0	0	0	0	0
Ubac2	339	76	93	64	294	68	256	286
Gp9	1	0	1	0	1	0	0	0
Rnf168	211	33	62	34	182	50	110	173
Strn	190	79	129	83	162	105	152	166
Sptlc2	479	109	275	163	531	257	275	346
Creb3l3	6757	3030	3011	2327	5337	2453	5435	5883
Smgc	0	0	0	0	0	0	0	0
Plekhm1	267	76	93	63	240	88	164	245
Defb14	0	0	0	0	0	0	0	0
Zfp113	67	7	18	10	55	19	38	41
Pclo	1	5	0	7	3	0	10	10
Fbxo11	309	98	197	95	241	137	171	256
Kdm1b	526	212	301	110	517	184	311	373
Fthl17-ps1	0	0	0	0	0	0	0	0
Ern1	655	286	385	307	694	324	424	524
Rcc2	322	62	117	50	323	74	199	265
Crtc3	138	29	29	16	92	25	107	121
Pcsk1	0	0	1	0	0	0	0	0
Bcl10	175	22	52	23	120	31	113	147
Krt6b	0	0	0	0	0	0	0	0
Krt2	0	0	0	0	0	0	0	0
Krt86	0	0	0	0	1	0	0	0
Tbcb	484	138	240	164	516	211	289	367
Olfr624	0	0	0	0	0	0	0	0
Rho	1	0	0	0	0	0	0	0
Bpifa6	0	0	0	1	0	0	0	0
Gch1	3778	749	2079	898	3846	1562	1733	2368
Capn9	5	0	1	0	0	0	0	0
Odc1	312	17	15	6	327	8	277	254
Mrpl12	2506	281	527	312	2525	393	1173	1924
Ilkap	396	82	97	56	366	91	294	291
Ttc39c	3206	1455	1165	1435	2750	989	4568	5243
Rwdd3	51	11	26	10	71	11	35	37
Auts2	2	0	1	0	6	3	1	3
Hprt	1981	1	1179	620	1890	946	4	1255
Ipo9	400	204	267	116	375	192	287	313
Csf1r	809	618	639	432	754	473	548	591
Lrcol1	0	0	0	0	0	0	0	0
Ssr4	1330	518	459	296	1288	316	979	1218
Tmco4	193	19	41	14	185	16	117	112
Bend6	0	0	0	0	1	1	2	1
Higd1b	1	0	0	0	4	0	1	1
Enam	0	0	0	0	0	0	0	0
Clcnkb	0	0	0	0	0	0	0	0
Ska1	8	1	2	1	4	2	3	0
Helb	193	81	135	67	175	98	118	138
Spon2	86	62	28	26	87	13	142	119
Mtmr9	214	179	279	132	264	161	190	164
Fam186b	1	0	0	0	2	0	0	0
Uggt2	67	5	7	3	49	7	18	24
Fbxw13	0	0	0	0	0	0	0	0
Tceal3	0	0	0	0	1	0	1	2
Ubtd2	34	1	8	0	33	4	5	21
Prr22	3	0	0	0	0	1	0	0
Smlr1	451	125	80	47	445	59	289	413
Vasn	132	45	51	41	120	28	91	156
Gfap	2	0	2	0	2	1	3	2
Anxa3	102	33	71	56	128	44	59	106
Ivd	6284	1608	2643	1284	6477	1975	3041	3676
Srp54b	0	0	0	0	0	0	0	0
Slc22a12	62	0	6	1	54	6	0	0
Napsa	11	2	1	0	15	4	5	5
Vmn1r148	0	0	0	0	0	0	0	0
S100b	2	0	0	0	0	0	0	2
Krt36	0	0	0	0	0	0	0	0
Stat6	816	333	437	202	858	267	610	620
Col3a1	715	224	632	106	751	369	309	260
Arg1	39748	10529	21063	10180	46172	14391	18462	28939
Arf6	758	123	211	102	671	146	475	682
Arf5	993	425	451	248	873	268	765	850
G6pc	2075	2369	1122	1741	2926	720	3735	4908
St3gal4	907	92	123	70	998	67	573	797
2200002J24Rik	0	0	0	0	0	0	0	0
Cdca3	69	9	7	3	41	7	28	14
Ywhab	1725	560	957	565	1542	652	1163	1559
Ezh1	265	50	100	44	254	63	120	137
Dusp8	8	1	0	1	4	0	5	16
Cpd	589	238	409	214	593	288	305	382
Emp2	42	9	10	1	51	2	46	54
Sec61a1	3263	1824	1725	1060	2843	1202	2500	2666
Fmod	17	8	20	13	26	9	7	28
Drg2	557	218	330	200	485	256	296	378
Dnaaf1	0	0	0	0	1	0	0	0
Ms4a4a	0	0	0	0	3	1	0	0
Cyp2c40	278	31	44	4	256	39	169	42
Efnb1	209	48	61	43	235	60	177	188
Cited2	359	108	171	128	296	144	275	320
Mta2	670	207	302	191	643	210	440	529
Prokr1	21	0	0	0	16	1	13	13
Ntpcr	118	14	47	9	128	26	63	78
Rep15	4	0	0	0	1	0	1	1
Polr3c	327	82	145	61	349	108	227	227
Map3k19	1	0	0	0	0	0	0	1
Igip	101	0	0	0	50	0	57	98
Gtf3c4	354	96	154	87	350	106	282	376
Vgll2	0	0	0	0	0	0	0	0
Mrpl21	311	69	85	62	339	66	231	261
Agpat2	2077	450	394	264	2105	251	1862	1950
Tnfrsf10b	9	6	8	7	13	9	5	3
Rasl11b	48	11	13	12	31	9	17	34
Acad8	1689	340	671	395	1739	466	1058	1328
Hoxd10	0	0	0	0	0	0	0	0
Hoxc4	0	0	0	0	1	1	0	0
Hmmr	47	19	12	3	25	28	26	8
Csnk1d	1191	326	446	250	1173	313	900	921
Spaca1	1	0	0	0	3	0	2	1
Armc12	4	0	0	0	1	0	0	0
Srf	152	25	16	9	126	9	65	113
Asrgl1	155	48	91	33	188	57	97	85
Lamtor1	385	25	58	50	470	62	176	269
Prxl2b	197	68	56	44	268	33	144	200
Ltb4r2	35	6	7	6	14	5	10	21
Ube2r2	1334	156	294	186	1187	199	969	1196
Prss21	0	0	0	0	0	0	0	0
Narf	752	160	346	152	831	225	405	528
Fibin	5	0	0	2	2	0	4	11
Eif1ax	720	63	372	169	773	234	419	634
Nrxn3	4	2	2	2	7	1	1	0
Dnah7a	0	0	0	0	0	0	2	0
Klhl21	888	144	344	174	617	195	434	830
Taar2	1	0	0	0	1	0	0	0
Clec3a	0	0	0	0	0	0	0	0
Krtap19-5	0	0	0	0	0	0	0	0
Krtap6-2	0	0	0	0	0	0	0	0
Tbr1	0	1	1	1	1	2	0	0
Krt27	0	0	0	0	0	0	0	1
Acat2	1078	161	190	157	1098	141	818	905
Tfap2c	0	0	1	0	0	0	0	0
Ccl25	52	4	16	8	73	18	29	40
Scrg1	0	0	0	0	0	0	0	0
St8sia4	18	1	3	1	17	3	11	6
Irx3	10	1	2	1	13	4	1	9
Acod1	5	0	3	1	8	2	4	2
Cep135	92	11	34	11	117	26	60	80
Vat1l	0	0	0	1	0	0	0	0
Gpr119	0	0	0	0	0	0	0	0
Man1a	4394	1098	1687	1104	3988	1317	2770	3981
Mrpl46	758	169	229	122	742	179	327	466
Nphp3	137	24	36	27	146	32	82	79
Msantd2	68	7	4	4	64	14	33	62
Ifna13	0	0	0	0	0	0	0	0
Gpr149	1	0	0	0	0	0	0	0
Fibcd1	0	0	0	0	0	0	0	0
Ppil1	153	37	56	26	135	36	87	80
Actl10	0	0	0	0	0	0	0	0
Rdh19	18	1	1	1	16	0	6	18
Ilrun	2828	186	418	226	2396	293	1887	2389
Tmem63b	775	167	209	146	697	155	465	581
Hist1h2bq	0	0	0	0	0	0	0	0
Agtrap	52	4	5	1	56	3	47	55
Angpt4	1	0	0	0	0	0	0	0
Anp32a	2325	870	1623	849	2418	1180	1501	1928
Ank3	357	89	253	66	437	173	137	207
Ly6g6c	0	0	0	0	0	0	0	0
Npy	1	0	0	0	0	0	0	0
Olfr59	0	0	0	0	0	0	0	0
Hmcn2	33	2	1	2	23	6	12	16
Ap3d1	938	522	667	306	948	417	780	669
Bmi1	250	17	25	13	204	28	143	206
Ascl2	0	1	0	0	0	0	0	0
Gpr182	360	219	391	190	326	253	196	234
Gpr27	2	0	0	0	0	0	0	0
Exo1	8	2	3	0	2	0	1	1
Kpna2	155	8	12	7	120	15	90	96
Nectin3	721	130	176	127	622	125	462	565
Wnt2	57	13	15	10	64	8	31	60
Nupr1	64	4	32	9	66	36	12	12
B4galt6	13	1	3	4	26	0	21	13
Sike1	133	68	91	58	147	71	97	112
Tsen15	36	3	8	0	49	2	36	32
Dnajc16	204	117	111	65	212	74	159	150
Hspbap1	60	34	34	12	53	34	40	50
Vwa3a	0	0	0	0	1	0	0	0
Kcnj5	1	0	1	1	2	0	1	0
Uggt1	1212	768	897	719	1011	721	1106	1171
Nrip2	2	0	1	0	4	0	1	2
Rnase10	0	0	2	3	1	1	1	5
Zfp972	5	1	1	0	9	1	1	2
Top1	966	387	1025	635	903	849	603	835
Parva	974	436	608	366	748	502	575	776
Tmem86b	979	297	555	234	1109	352	554	632
Gng8	0	0	0	0	1	0	1	2
