geneid	control_RPF_2	control_RNA_2
CG4991	618	15389
CG16700	394	1137
Arpc3B	11	7
CG5004	136	3239
mei-218	32	58
mei-217	44	0
RpS5a	725	12150
Chchd2	1217	6482
xmas	173	2901
baz	104	2347
TTLL1A	0	0
CG5070	0	0
CG32564	0	0
CG32563	0	0
CG12995	0	0
CG18258	0	7
CG5162	51	39
CG12998	0	0
CG5172	0	0
CG34327	1	0
CG10598	0	0
CG10597	0	0
f	3	8
CG8915	123	4866
CG42854	0	2
CG8675	201	1342
CG8664	0	0
CG5445	63	4573
CG8661	0	0
Fim	750	5977
B-H2	0	0
B-H1	0	0
CG8611	356	2328
CG12994	0	0
CG46464	0	0
CG5613	69	399
p-cup	0	0
CG8568	1	2
CG43658	153	2290
ppk23	0	0
Ankle2	893	9932
CG12991	92	510
CG12992	0	14
X11L	36	6164
stas	289	9244
CG8326	201	1888
corolla	14	243
ND-24	575	1955
CG8289	101	2943
CG5800	289	3620
RhoGAPp190	250	13127
IntS2	93	3571
beta-Spec	918	3843
CG12990	0	0
chas	12	916
CG8188	211	8644
par-6	37	6721
CG8173	153	7670
raskol	164	8051
unc-4	0	7
OdsH	1	0
CG12986	0	0
Socs16D	48	8990
CG6398	152	4997
Taf9	130	1514
CG8142	381	2080
Ucp4A	11	1536
CG15814	15	3636
Spt7	13	906
CG32554	33	64
Mco4	0	0
CG6762	12	90
Arp8	63	2301
CG6769	351	1618
mnb	45	8612
CG12985	0	1
CG6788	0	0
Gss1	0	0
Gss2	0	0
CG7772	9	1452
Vps4	603	4661
CG6847	46	112
Sh	0	7
CG12672	0	0
CG6867	0	9
CG15373	0	0
Dhc16F	9	3
CG7536	78	6498
Ada3	154	2004
CG7206	88	2256
scu	1128	11463
RhoGAP16F	4	229
Mvb12	139	4871
Taf8	50	2324
CG7135	0	1
wupA	107	322
CG43133	0	0
ari-1	135	5128
CG43229	0	0
Frq1	0	1
Frq2	0	14
Andorra	0	0
Hesr	16	76
Him	0	2
CG33639	0	0
upd2	0	0
CG15059	0	0
upd3	5	8
upd1	2	26
CG6023	8	233
kairos	0	0
CG6106	4	37
CrebB	27	3751
por	19	1241
CG6179	63	1792
betaCOP	818	6081
Tsf1	38	65
Nt5b	446	2511
CG34328	0	0
CG15056	0	1
CG42323	0	1
CG32548	0	0
CG6290	0	0
CG32551	0	0
CG43841	0	0
CG32547	1	7
CG43843	0	0
Hayan	1	70
psh	1	5
CG15046	2	5
CG15044	0	0
CG15043	0	0
Pgant7	108	4125
Xrcc2	1	216
Wnt5	57	1280
Ggt-1	102	14758
CG6470	0	12
HisRS	389	5988
Bx	47	1284
CG6481	1	7
CG15042	0	1
CG15047	67	1530
CG15040	1	2
wgn	36	245
Rip11	268	8690
Nup35	262	3120
Hou	284	2257
Ing3	149	1921
CG6659	64	2544
fu	70	1468
CG6696	0	2
phm	26	50
Cyp18a1	183	619
CCKLR-17D1	0	0
Cyp308a1	0	0
CG42302	0	0
CG6873	0	0
CG12609	0	0
CCKLR-17D3	2	3
CG6891	315	681
CG18259	21	1844
CG6961	20	2347
S6KL	135	2565
Atg101	8	960
bnb	13	37
CG7058	0	5
CG42450	4	298
CG7101	49	1487
Pvf1	106	1368
htk	210	1698
shop	29	1932
CG7322	45	909
Usp39	141	3152
CG32544	0	105
CG7326	43	4100
Dora	169	10223
CG7332	426	6628
Flacc	211	3032
SdhBL	0	0
CG7378	39	209
CG43759	53	813
Diedel3	0	0
CG14190	1	0
CG34330	6	8
CG7406	0	0
CG14191	0	0
CG7423	0	0
CG15882	0	0
tgy	0	3
Obp18a	0	8
RhoGAP18B	51	2480
Inx5	0	0
CG33939	0	5
CG7556	72	3552
CG7453	246	5567
CG33253	0	5
Mec2	10	7
HP1D3csd	0	3
CG7914	13	200
CG14194	15	3326
CG7990	1	40
Ulp1	788	12767
CG14195	0	1
Mur18B	1	1
Muc18B	0	0
CG7884	13	11
CG14196	11	25
CG7889	28	1993
CG7992	0	0
Hs3st-B	1	0
rictor	245	7226
Vav	60	1725
CG8010	50	2375
CG32537	7	925
CG32536	22	187
CG8028	0	0
CG8034	99	1664
CG8051	1	1
out	124	2981
nAChRalpha7	0	0
kek5	131	2563
CG32533	35	1154
narya	1	11
mRpS14	107	861
Naa15-16	524	19358
pcm	513	7460
ND-18	242	1612
CG12204	23	778
ksh	61	1408
CG14200	93	7856
Pfrx	109	1610
Idh3a	390	14001
CoRest	204	9597
CG12231	0	0
CG32532	1	3
Grip84	429	13909
car	45	1972
Tao	230	19300
CG14218	0	44
CG14204	3	32
CG14219	0	0
CG14205	0	4
RpS10b	1580	43859
CG14220	98	1714
CG14207	343	3065
Tyler	1	0
Shawn	34	0
CG14210	285	667
Tim9b	58	0
Pstk	4	0
CG14221	1	43
Naa20A	91	3170
MKP-4	23	3063
CG14212	0	15
e(y)3	311	16097
Rcd-1	425	6781
CG12237	29	4288
Sec61gamma	332	8372
Arp10	67	816
Ranbp21	434	5719
Elys	483	6077
CG14223	3	198
Ssu72	45	1821
Zw	60	460
et	2	5
dome	199	5254
Ubqn	534	20353
CG14227	0	7
Mer	29	4628
CG14229	9	1401
Cdc42	426	8060
Tcs4	23	1255
CG14232	69	2031
CG14230	144	3002
meso18E	6	247
CG12531	0	2
AP-1-2beta	756	7409
CG14234	0	2
COX6B	637	5428
CG18809	42	1113
CG33932	9	0
Rpp20	39	0
parvin	142	3224
Alr	95	1447
Abcd3	150	6363
CG12702	218	1886
zld	153	6138
SkpD	0	0
SkpC	0	4
SkpE	0	0
pico	283	8133
Nup205	979	9623
THADA	68	821
Hers	108	1955
amn	0	4
CG45486	0	0
CG45487	0	0
CG45488	0	0
CG45489	0	0
CG45490	0	0
CG45491	0	0
CG45492	0	0
CG45493	0	0
CG45494	0	0
CG43784	0	0
CG12655	11	19
Nep3	2	14
CG17003	0	0
Dop2R	0	1
CG9570	0	0
fd19B	0	0
Or19b	0	0
CG42581	0	0
karr	0	0
CG34331	2	3
CG15322	0	1
CG42583	0	0
CG34332	0	0
Or19a	1	0
aspr	2	2
Rab35	29	5383
Phf7	39	4341
Ech1	304	1621
CG9581	155	1594
CG9578	160	1456
AnxB10	219	1434
Sdic1	0	2
Sdic2	0	26
Sdic3	0	0
SdicA	0	0
SdicB	0	0
SdicC	0	0
Sdic4	0	0
sw	66	1583
obst-A	0	8
Peritrophin-A	0	15
CG17068	105	1704
Rab10	205	9872
CG17065	16	538
CG42577	0	0
Inx6	0	0
CG1504	0	1
CG1631	0	0
CG12679	0	0
jb	0	0
l(1)G0004	294	1019
Syx16	14	1258
HERC2	226	5476
CG15459	0	0
CG15458	2	0
Obp19a	0	0
Obp19b	0	1
Obp19c	232	479
Obp19d	0	2
Pp4-19C	129	6016
cactin	164	1936
CG15456	26	319
CG11710	204	2040
mal	90	2596
CG1695	1	5
CG42578	0	0
tbc	3	0
GstT3	48	1336
RhoGAP19D	103	2939
CG15461	0	1
CG1812	115	2583
Tak1	37	4457
CG42579	0	0
RunxB	2	0
CG42580	0	0
RunxA	2	18
Cyp6v1	173	7732
CG1835	1	30
hydra	0	0
run	1	0
CG1324	0	0
CG15452	0	0
shakB	0	18
CG32507	0	1
CG15450	0	0
CG1314	1	0
I-3	0	0
CG11227	0	0
Npc1b	0	0
Ser6	0	0
CG1304	0	0
CG44426	1	0
CG11666	0	0
r-cup	1	5
CG1532	315	3702
CG1529	47	2560
Ntf-2	213	9469
CG15449	0	0
Mgstl	113	363
Cbs	407	6246
Stt3A	708	10883
bves	11	3215
CG32512	101	6227
CG11566	0	0
stg1	0	0
CG15446	0	0
CG1503	17	208
unc	3	178
CG15445	156	1449
CG34120	76	484
CG45154	0	0
0	0	0
CG1724	0	1
CG32521	203	3339
CG32523	0	1
CG1722	0	2
CG1494	0	9
Abca3	43	2767
CG1801	5	303
Rpt6	3040	9993
anox	18	0
SLIRP1	117	0
Dd	48	3800
CG1486	166	2883
tty	0	170
fliI	106	3755
dod	232	2017
peng	620	4511
sol	137	9867
Septin1	217	8134
waw	55	0
bbx	102	8
slgA	302	7732
Hlc	177	8073
mst	76	650
lcs	0	0
whe	2	0
DIP-beta	1	29
CG10918	0	0
Ir20a	0	3
Cyp6t1	23	593
GCS2alpha	1528	17022
CG17450	0	1
CG33502	0	0
CG32820	0	1
CG32857	0	0
CG32819	0	0
CG32500	0	0
DIP1	268	3293
CG40813	0	0
CG41562	0	0
CG14621	20	1342
CG14615	27	408
tilB	1	161
wap	78	10163
Usp2	37	5448
CG14613	22	3149
CG14618	121	1205
CG12576	242	7944
Cp110	63	2224
l(1)G0196	305	5007
CG17600	30	1063
S6kII	42	1476
CG17598	183	3374
Cluap1	0	4
CG17601	0	1
Cda4	9	13
CG12446	0	3
fog	87	5075
CG42346	1	107
CG34334	0	12
CG41106	0	3
CG40486	15	15
CG40485	0	5
stnA	1	0
stnB	8	0
FucTC	0	4
Rab21	19	1530
Coa7	155	4191
zyd	78	5264
CG12061	3	8
CG17167	1	310
CG17163	6	5261
CG17168	181	3990
CG17169	23	16
CG17159	45	0
CG17162	15	122
su(f)	194	1641
ATbp	42	507
l(2)gl	441	17123
Ir21a	0	1
Cda5	12	72
dbr	91	3058
galectin	145	4143
CG11374	1	9
net	5	19
Zir	163	3693
CG11377	234	2331
Nhe1	68	2011
Sam-S	517	18138
ND-15	214	2471
CG13694	0	0
CG4822	12	110
0	1015	2904
Gs1	953	13926
ovm	0	0
CG31975	0	0
CG31974	37	86
CG11454	71	1389
CG42399	0	219
CG3709	139	1782
CG3436	337	4487
CG33635	56	643
spen	337	19796
mRpL10	250	2343
CG11617	0	11
Tbc1d15-17	199	4732
kis	431	54382
CG13693	0	0
Rpp30	112	510
CG3645	169	1532
CG17075	0	24
CG3345	0	4
mbm	301	7046
CG11555	284	2768
CG17078	85	8319
smo	46	2275
CG11601	12	891
CG3625	15	81
Amnionless	0	0
CG11562	6	840
U2af38	221	4247
Stip1	1188	20901
Pi3K21B	118	11032
Plc21C	46	3997
CG11912	0	0
CG11911	1	0
CG33127	0	0
CG43755	1	1
CG31921	0	0
Ent1	123	329
al	0	0
CG4213	1	15
Polr1B	380	2753
AP-2alpha	524	11555
ebi	136	10815
CG13690	229	3105
RpLP1	1183	51882
CG11885	140	851
CG13692	0	1
BBS8	0	0
ex	35	815
crq	391	13762
shv	199	3016
CG4133	0	5
CG4297	14	391
MED15	176	4226
ush	110	1386
cbt	177	1680
lwr	382	7191
Spp	147	3815
Ets21C	2	20
nAChRbeta3	10	0
rempA	0	115
Tspo	293	705
CG11835	0	2
CG2794	56	790
Nle	204	965
Sf3b1	736	3452
Ipk2	28	3730
cold	63	3066
Ptth	0	5
Pph13	0	1
Gsc	0	0
CG13689	24	692
lectin-21Cb	0	2
lectin-21Ca	0	1
CG2839	0	1
ds	1	20
Hsp60B	0	1
Eaat2	0	3
GABA-B-R3	0	18
CG12506	0	0
CG13946	0	2
CG13947	0	0
Gr21a	0	3
CG3544	0	0
Pkg21D	0	1
Nnf1b	95	942
Dbp21E2	60	1745
Saf6	131	939
Pex12	27	371
CG15880	0	0
PGAP2	14	845
Clp	89	2033
CG3662	1145	7455
CG3862	37	1064
dock	113	5369
drongo	162	4673
CG4291	129	761
kraken	119	3157
CG13949	0	3
CG13950	0	1
aru	164	773
dbe	150	2239
PNUTS	333	6377
CG15824	0	0
ninaA	0	0
Lsp1beta	3	2
GluRIIC	0	6
CG4341	0	1
IA-2	1	19
CG4375	0	0
CG4415	1	2
S	43	6770
ast	117	2031
Atg4a	67	1808
CG4629	3	6
PolrMT	184	3112
CG14339	0	0
CG14340	0	0
Pino	100	3527
TBC1D23	149	2471
Iris	200	448
CG4577	2	10
MFS3	0	0
l(2)10685	63	668
Tfb4	29	1155
Vps29	84	2240
capt	1331	8941
Tango14	37	1295
CG5080	23	253
IntS14	217	1373
CG14341	115	443
Plap	395	5229
CG31922	23	69
Charon	35	1542
CG4887	135	2848
CG4896	38	1446
CG5126	151	1663
Tgt	32	981
CG5001	7	105
CG5139	1	0
CG43348	0	0
CG43349	0	0
CG5011	0	0
CG14342	0	0
CG42329	0	0
CG5397	42	76
robo3	0	0
a5	0	0
CG5440	0	0
CG33923	0	0
CG33922	0	0
Cdlc2	0	0
CG5556	0	0
CG5561	0	0
CG31924	0	0
CG5565	0	0
CG31659	0	0
NLaz	80	57
CG14346	3	0
robo2	12	30
CG43401	0	0
CG43402	1	1
CG31928	219	811
CG33128	3	6
CG31926	194	543
CG31661	168	285
CG18131	0	14
CG7420	25	562
CG18132	0	0
halo	0	0
Or22a	0	3
Or22b	0	5
haf	2	30
nis	0	4
Rab3GAP1	80	1709
CG14352	49	1126
RFeSP	547	4350
chinmo	2	27
cpb	408	5454
CG17660	148	2277
mRpL48	129	732
frtz	56	1545
Rim2	45	1519
Eno	5036	57067
Rrp40	155	509
CG31937	30	1794
CG17652	64	902
CG17646	20	328
CG17712	42	1627
CG17648	0	0
Gr22f	0	0
CG17650	3	7
Gr22e	1	0
Gr22d	0	0
Gr22c	0	0
Gr22b	0	0
Gr22a	0	0
CG31933	0	0
CG31664	0	0
c-cup	0	0
wry	0	0
CG31663	1	0
CG7295	0	0
CG15358	0	2
Wdr62	167	10516
CG15357	0	0
CG33673	0	0
erm	0	0
Der-1	116	2549
CG15356	64	5506
CG15362	23	914
CG7289	144	2156
Got2	1341	14440
Npc2a	271	4117
Obp22a	0	1
CG33543	0	0
CG15353	33	0
Nplp4	3	1
CG4238	105	4673
CG42296	1	0
lectin-22C	0	0
Su(dx)	152	7863
Kebab	35	830
Or22c	0	0
dpr3	0	1
CG12674	0	0
CG4259	6	4
GlyP	1582	28882
tho2	879	8003
CG11723	21	2637
TBCD	378	3888
AIF	342	7966
CG15382	0	17
aop	121	4378
CG10874	38	713
COX7AL2	1	1
CG31668	0	4
CG33124	1	0
CG15385	1	57
Uch	1909	9706
CG34174	13	446
daed	109	3043
CG42371	80	0
CG15386	20	0
mio	64	1937
papi	51	2394
CG15387	161	1669
sau	227	4922
Sec24CD	624	6897
Tengl3	0	0
Tengl2	0	2
Tengl1	0	1
CG4267	45	3066
Ser12	0	0
CG17239	0	0
CG17234	0	0
Send1	0	0
CG4270	0	0
CG34049	0	0
CG17242	0	0
CG4271	0	1
CG31681	0	0
CG42658	0	0
CG17237	0	0
robl22E	0	0
CG31949	0	0
CG16995	3	3
CG9967	11	897
eys	4	2
Rab5	505	9427
Axud1	49	1997
CG3597	0	12
CG3609	479	2817
CG15390	37	74
Atxn7	24	2337
Eogt	9	1256
PIG-Wa	15	424
CG3557	0	1
CG43750	0	0
CG46448	0	0
VGlut	0	0
CG18641	0	1
CG31948	0	0
CG34448	0	0
CG34447	0	0
CG9886	11	140
CG44139	0	0
dpp	10	50
Slh	223	1986
oaf	184	6127
CG3528	0	0
CG3515	0	0
Cyp309a1	0	1
Cyp309a2	0	5
Rad1	25	0
Sws1	32	0
insv	31	4177
Elba2	51	3695
ND-B17.2	325	1926
Arpc5	114	2411
Drp1	385	9674
CG15394	22	34
CG15395	0	0
CG43403	0	0
CG9962	0	0
CG43851	0	0
CG33125	0	0
Prosbeta4R1	0	0
Or23a	0	0
Prosbeta4R2	0	0
Trf4	0	0
Gr23a	1	0
CG31690	0	8
Trf5	0	0
CG31689	74	8368
Hrs	306	4453
CG9961	0	38
Cwc25	112	2884
Pgk	1173	13362
Bacc	559	12038
HemK2	1	0
Snapin	21	0
Tnpo-SR	63	1307
Snx21	33	1307
aph-1	103	2399
Taf10b	107	895
Taf10	175	1002
colt	97	3161
HINT1	356	4663
CG15399	0	0
Syt1	1	0
daw	16	8
CG2964	0	0
G6P	0	1
Duox	207	14316
CG3123	0	5
CG3119	0	0
Cpr23B	0	0
CG2975	0	1
CG18558	0	0
CG18557	0	0
CG3117	0	0
CG2983	0	0
CG3104	2	44
RpS21	1003	17791
CG2991	63	1955
Ifrd1	408	6153
CG8813	0	2
CG8814	56	3560
Prx6005	136	775
Sbat	93	278
RabGGTb	51	662
NTPase	50	3352
lilli	84	6254
Rbp9	14	212
Ts	630	3173
Rrp1	223	5512
gammaTub23C	46	2158
CG9641	207	8450
CG3165	22	2693
CG9643	132	678
Chd1	346	13253
Bem46	8	1357
okr	43	2194
CG3558	65	5265
Ccdc85	7	229
CG17224	10	98
CG17264	0	14
alpha4GT1	15	1614
Prp40	294	3557
Sf3b2	389	6135
CG17219	61	439
GABPI	71	1512
CG17258	0	5
SerRS	1149	4927
CG17260	61	1031
cnir	8	1153
CG17221	87	783
CG17261	2	43
FASN2	10	59
FASN1	1623	4177
toc	306	11854
PpD6	0	0
CG15403	0	0
ND-B14.5B	243	1594
Mad	227	8200
gkt	188	2164
Hydr2	306	6178
CG44002	36	524
CG31698	0	1
CG15404	0	0
CG34393	4	0
CG3347	0	0
OtopLb	0	0
CG9664	1	4
CG9663	16	415
CG3277	0	5
CG15406	0	0
Fign	94	1185
CG8837	0	0
CG33281	0	0
CG33282	0	0
CG3285	0	0
CG15408	0	0
E23	30	5510
CG8838	3	25
GramD1B	243	5851
CG15412	1	15
CG9662	123	2071
Ptpa	211	1258
Sfp23F	0	0
CG42460	0	0
CG34175	0	0
Pgant2	15	49
CG8840	0	0
CG31952	0	0
CG2772	0	4
Snx1	261	2380
CG12795	100	4635
Cog3	57	1792
Sec5	202	1677
CG3246	5	11
msl-2	1	166
ND-PDSW	245	2952
Pif1	169	4831
CG31776	0	0
Pgant4	0	0
Thor	366	1946
CG15414	0	0
tim	170	2743
CG31954	0	1
LeuRS	1320	9443
CG17593	386	5918
CG3213	11	1
CG8851	0	1
Sr-CIV	0	1
CG8852	1	20
Spindly	259	2866
IFT57	0	0
drm	0	0
CG43815	0	0
sob	0	1
odd	0	1
Ugt36A1	11	187
CG15418	10	0
for	345	24004
Drgx	0	0
Sfp24Ba	0	0
Sfp24Bd	0	0
Sfp24Bb	0	0
Sfp24Bc	0	0
CG16704	2	5
CG3513	0	0
Acp24A4	0	0
CG43165	0	0
CG16713	4	5
IM33	5	21
CG3604	0	0
CG10031	4	2
CG42464	0	0
CG42465	0	0
Sfp24C1	0	0
CG42467	0	0
CG43145	0	0
CG2816	0	0
CG31778	0	6
CG31777	3	26
cutlet	174	2956
CG31955	3	21
CG2818	127	3101
lectin-24A	1	0
Shaw	0	20
CG10019	0	17
CG43707	0	0
CG43703	0	0
bowl	248	226
CG31960	0	0
bark	144	623
Reph	49	4799
CG3407	81	1891
slp1	0	0
slp2	0	0
TTLL4B	10	317
Cep97	40	2994
CG31957	62	2365
capu	113	2487
fred	3	2
CG31773	1	0
CG43797	0	0
CG34176	0	0
CG15422	0	6
CG15423	1	0
CG43773	0	0
CG43774	0	0
ed	451	9190
Sr-CIII	0	1
Sr-CI	4	3
CG2955	0	0
Or24a	0	0
TBCC	217	1996
lectin-24Db	6	4
Naprt	117	1472
ft	3	2
CG3702	254	7890
RpL40	1251	41927
CG15425	0	0
Art2	1	2
tutl	20	275
bdl	62	209
Atet	173	845
CG15429	1	1
Traf4	33	142
CG17612	48	1996
Vps53	94	2399
Psf2	71	815
Tps1	66	125
CG3652	193	2089
l(2)k05819	85	8492
CG33003	0	11
Dim1	131	963
CG15431	1	44
CG43055	0	0
CG34177	0	0
CG34178	0	0
CG43056	0	0
Sfp24F	2	0
CG15432	94	354
morgue	48	1760
Elp3	238	2987
MFS18	29	4271
CG15439	169	3957
Secp43	162	628
ND-B8	0	0
Gs1l	101	1868
RpL27A	4261	65755
mRpL27	124	1121
CG15435	7	1141
CG15443	228	1687
Paris	26	1704
FIG4	69	582
ine	1	13
dpy	14	30
HP6	0	3
BG642163	0	0
CG15635	0	0
CG43798	0	0
CG3355	0	0
CG11929	2	0
Elba1	0	0
Elba3	0	0
CG3251	1	1
dcma	0	0
Taf12L	1	45
CG15631	0	0
fipi	1	2
CG42523	0	0
CG3294	10	138
slf	0	0
CG15629	12	43
CG3225	69	499
CG15628	2	20
Fnta	234	3016
Ir25a	1	3
tank	33	1571
CG12194	2	79
mxt	85	4370
CG11927	54	1531
mRpS2	275	1512
Mon1	96	2269
smog	1	4
Cf2	18	3790
CG3008	112	2197
CG15625	0	1
CG3036	47	723
snsl	2	24
hoe1	311	8358
hoe2	0	1
Sgs1	0	0
CG14044	0	4
mRpL24	263	1669
betaggt-I	57	2465
jet	2	497
Jon25Biii	0	1
Jon25Bii	0	0
Jon25Bi	0	0
Marcal1	287	2491
CG34124	1	0
CG34125	120	1062
eIF3i	382	13298
Scox	135	3206
Polr1C	202	1022
l(2)05714	97	2280
CG14043	93	2889
mRpL28	184	1970
Gmd	66	2615
CG3792	150	2457
CG8891	94	877
CG8892	333	3130
CG34126	110	6550
Rtnl1	842	11212
CG31917	18	0
Tfb5	24	0
SelT	165	4309
vkg	1629	3090
Col4a1	2262	4090
SP555	0	0
CG14042	0	0
CG31650	37	3360
CG44001	45	0
CG33995	69	0
CG44000	58	0
CG9121	3	21
eIF3h	382	10422
senju	60	1976
CG14036	230	4487
His3.3A	977	4450
Nepl3	104	1211
Rpn11	1059	11388
qtc	48	142
RpL37A	844	26716
Pgant5	113	4264
CG5828	55	2575
CG4230	90	1213
ND-13A	339	1679
Msp300	200	1874
Cyp28d2	1	4
Cyp28d1	2	3
CG7742	0	0
CG14034	0	0
TpnC25D	0	1
tkv	233	3330
Cyp4ac1	0	3
Cyp4ac2	0	0
Cyp4ac3	6	10
Bsg25D	71	3348
Bub1	77	4947
vri	82	441
CG14024	1	3
Ncoa6	141	6973
cype	542	2761
CG14022	1	2
TotM	0	0
fusl	0	3
Acsf2	61	652
nompC	1	2
H15	5	46
mid	53	161
CG14020	0	18
CG7382	100	558
cl	220	3171
Vps52	150	1752
CG6907	645	3853
Cap-D3	48	1227
CG31648	36	798
CG31915	27	1235
Coq6	119	1891
tomb	1	6
CG14015	1	5
Hel25E	1178	12477
Lam	543	13873
Oscillin	52	72
CG14014	0	0
CG18269	0	0
CG14013	0	0
CG14017	0	0
GluRIIA	1	12
GluRIIB	2	0
CG14011	0	0
CG7251	0	0
CG18266	0	0
DIP-eta	0	0
Cyp6a16	0	1
DIP-theta	0	0
Hsp60C	0	0
CG12511	0	0
CG7236	0	0
CG14007	0	0
CG34011	0	0
CG11149	0	0
sip1	149	1261
CG11030	96	2550
CG14006	1	2
CG11147	58	34
CG11029	1	12
obst-E	4	2
CG9171	31	2191
CG31913	0	0
CG14005	30	2826
CG7239	61	1855
CG11034	19	1483
CG43307	0	0
COX6CL	2	0
TrissinR	3	57
rau	41	199
CG44574	0	0
Sfp26Ac	2	0
CG43185	0	0
CG9029	0	0
Acp26Ab	0	0
Acp26Aa	2	0
CG9021	1	0
bchs	46	283
CG14000	0	0
CG9016	0	1
dsf	0	0
Sfp26Ad	0	0
Gpdh1	439	6832
CG9044	130	2031
CG13999	0	1
CG13998	6	6
Vm26Ab	2934	1283
Vm26Ac	235	83
Vm26Aa	8397	2466
psd	528	228
CG13992	446	302
Ucp4C	0	2
Ucp4B	1	0
chic	740	27820
eIF4A	4305	60222
ifc	293	6693
Kdm5	334	14846
Tsp26A	16	146
Gal	6	1
CG9098	60	479
H2.0	0	5
CG13996	0	0
CG9107	179	950
CG9109	0	0
mtm	160	2727
CG9117	23	409
CG31643	75	1076
Pfas	329	7620
slmo	110	83
CG34179	32	0
IPIP	31	1250
CG9135	1121	18364
CG13995	0	10
CG34180	0	3
ND-51	579	3742
CG13994	100	616
Fbw5	57	1540
CG9147	19	678
CG9150	1	2
Pfdn1	321	2508
CG9154	70	237
Kr-h2	405	5120
Kr-h1	61	17
CG45075	0	0
CG9175	59	1879
stai	2044	16410
CG31642	2	18
Arpc4	299	1222
WDR79	98	1607
B9d2	0	0
tctn	1	0
CG9222	0	0
CG13991	0	1
Muc26B	0	0
CG31639	0	0
CG13989	0	0
smal	1	17
Ugt37B1	0	0
Ddr	1	2
AANATL2	0	0
CG13983	0	0
CG43922	0	0
CG13984	0	0
PDZ-GEF	134	9163
Pez	147	5938
Cpr	228	13475
CG9497	1	14
CG9498	3	3
ppk7	0	0
ppk14	1	0
CG9500	0	0
Nepl4	27	40
slam	55	2513
DIP-epsilon	0	14
Nepl5	0	1
Nepl6	0	1
CG42369	3	28
CG13982	1	60
Tig	7	19
Fic	12	2466
Acox3	47	629
retm	51	1731
frj	186	3016
Rchy1	11	219
HemK1	9	373
mmy	43	4278
CG9536	36	2189
Sec61alpha	2230	14436
Daxx	117	10919
0	1	16
epsilonCOP	621	1738
Phf5a	143	1777
CG31638	33	1463
CG9547	66	1397
CG9550	0	0
CG31637	32	1657
eya	92	350
IFT52	5	12
COX5B	620	5286
CG9596	116	1149
COX5BL	0	0
Ent2	276	2858
CG13766	45	1093
CG11319	1	25
CG11050	106	6054
DIP-iota	5	26
CG34345	1	0
Oatp26F	5	0
CG31635	242	6243
Tango1	471	7144
CG31633	60	883
CG31636	0	1
Ube4A	95	5340
CG13771	1	13
CG34310	127	116
cup	4060	0
Galt	40	127
Spn27A	38	2216
cort	226	4247
Nse1	65	1498
Nhe3	161	6231
CG11327	0	2
Tsp	2	7
AkhR	2	1
Aatf	130	2535
homer	140	7108
Liprin-alpha	69	3546
TTLL3B	0	0
TTLL3A	16	0
meng	0	5
CG31910	0	0
CG44271	0	0
CG11322	0	0
LUBEL	3	19
CG17378	0	2
nrv1	483	9710
nrv2	53	238
CG43610	0	0
CG17376	0	0
CG17377	0	0
Daao2	1	0
CG17375	0	0
sens-2	0	0
Rca1	354	6693
l(2)k09022	1403	8003
Nha1	341	1338
Nlg2	0	24
Polr1F	58	2278
Rat1	401	3594
Wee1	94	2862
x16	290	9691
CG32829	1	10
nop5	1187	10367
Hrb27C	1829	60524
CG43232	0	0
CG18304	67	64
Fgop2	61	3339
ihog	18	1853
Gas41	137	696
SA	291	2883
CG13775	9	410
CG3430	303	5609
Atac1	32	575
Hmgcl	63	305
sip2	275	5624
Coprox	119	2662
smt3	982	25800
snRNP-U1-70K	147	4275
uif	3	0
CG43321	0	0
CG43322	7	398
Gart	393	3481
Pcp	0	4
CG31908	38	4436
MME1	9	1142
Rab30	14	1640
Caper	231	3916
milt	163	13050
Mnn1	38	6018
Mst27D	0	3
Sem1	820	5741
Nuf2	170	2147
Ugt307A1	1	4
Pvf2	2	5
Pvf3	7	11
MICU1	335	3123
CG4496	4	338
CG4497	62	4103
CG4502	137	6430
CG13784	52	5470
mEFG1	130	1964
Ndae1	6	23
CG43799	0	0
CG43800	0	0
CG13786	4	18
Wnt4	7	43
CG31909	0	0
wg	0	0
Wnt6	0	5
Wnt10	0	0
ninaC	1	0
CG5149	188	4263
gudu	0	0
CG5160	1	2
CG5171	3	13
CG5177	39	60
CG5181	85	1436
CG15818	0	2
chm	48	4038
muc	341	5899
CG5958	1612	2492
CG5973	206	288
santa-maria	7	4
Gr28a	0	0
Gr28b	0	0
CG6055	38	19
Ziz	107	1401
CG6441	1	12
Obp28a	0	0
RapGAP1	174	3732
Spn28B	0	0
Cyp4d21	2	0
CG6739	5	32
Slob	0	4
Myo28B1	1	4
CG18585	0	0
CG7025	0	0
CG43235	0	0
Tep2	142	1041
Tep3	10	24
Ntl	8	0
CG33296	0	1
CG13793	7	3
CG13794	1	3
CG13795	1	11
CG13796	6	127
CG31904	0	1
Acp1	0	0
CG7214	5	9
ATPsynGL	0	0
CG7203	2	0
CG46025	0	1
CG7191	0	0
CG7179	0	0
Uro	0	0
CG7164	0	0
Brd7-9	520	7625
CG7149	9	564
LKRSDH	0	24
Herp	116	3538
r2d2	43	2779
cdc14	61	3242
LanB1	639	2536
CG7115	105	6998
Rack1	2596	73423
mts	1619	28946
CG14537	0	0
CG14535	9	75
lectin-28C	10	6
TwdlE	1	0
Proc	0	1
spz3	0	10
CG7102	15	463
SmE	300	4116
CG34132	137	2686
Spn28Da	0	1
